ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
9,3L13,L1,1,L,Before painting the contractors laid down a tarp on the couch in the,3,3
9,1H21,H2,2,H,To see the exotic animals we took the children to the zoo,1,1
9,2M32,M3,3,M,They had to hire the landscapers to help them remove a stump beside,2,2
9,3L43,L4,4,L,They started filming a documentary about last year's drought in,3,3
9,1H51,H5,5,H,They didn't rent the apartment because the kitchen was too,1,1
9,2M62,M6,6,M,During the checkup the doctor looked carefully into her eyes which were,2,2
9,3L73,L7,7,L,Laurence woke up early to make his own bread from,3,3
9,1H81,H8,8,H,I had to go inside because the jackhammer was very,1,1
9,2M92,M9,9,M,She brought a jacket to protect her from the rain,2,2
9,3L103,L10,10,L,We heard that the remote island has no known cure for,3,3
9,1H111,H11,11,H,The parents of the awarded athlete felt very proud of,1,1
9,2M122,M12,12,M,My passengers jumped when I stepped on the brake all of,2,2
9,3L133,L13,13,L,Hamilton and his coworkers were chatting together after the long speech about,3,3
9,1H141,H14,14,H,The passwords were stolen by a brilliant hacker living,1,1
9,2M152,M15,15,M,My friend at the office refused to tell me the truth,2,2
9,3L163,L16,16,L,My wife said that she didn't like that kind of cake after,3,3
9,1H171,H17,17,H,He didn't eat breakfast and he forgot to pack his lunch,1,1
9,2M182,M18,18,M,Ben always did well in Biology because he had a good memory,2,2
9,3L193,L19,19,L,Bill checked outside but he didn't see the little pigs behind the,3,3
9,1H201,H20,20,H,The lumberjack chopped down the tree with his axe,1,1
9,2M212,M21,21,M,The caterpillar was trying its best to escape from the cocoon made,2,2
9,3L223,L22,22,L,When we were told we had to evacuate we listened to the pilot and,3,3
9,1H231,H23,23,H,The hot pan was bubbling on the stove,1,1
9,2M242,M24,24,M,For her lunch tomorrow she decided to make a salad,2,2
9,3L253,L25,25,L,I saw some steam coming out of the new iron in the,3,3
9,1H261,H26,26,H,At Costco the toddler wanted to push the cart near,1,1
9,2M272,M27,27,M,She thickened the stock to make a delicious gravy that,2,2
9,3L283,L28,28,L,After the party the butler cleaned the floor because the boss,3,3
9,1H291,H29,29,H,The dairy cow produced a lot of milk,1,1
9,2M302,M30,30,M,At the diner the waitress had forgotten to bring him a napkin made,2,2
9,3L313,L31,31,L,After their trip they replaced the battery in the old clock on the,3,3
9,1H321,H32,32,H,Her fridge was empty and she had nothing to eat,1,1
9,2M332,M33,33,M,To relax after work Bill decided to take a bath,2,2
9,3L343,L34,34,L,The crowd watched as the man picked up his racket and,3,3
9,1H351,H35,35,H,Jan poured the milk and cereal into her bowl,1,1
